room_type_Entire home/apt,neighbourhood_group_Manhattan,room_type_Shared room,neighbourhood_group_Bronx,minimum_nights,availability_365,neighbourhood_encoded,calculated_host_listings_count,number_of_reviews,price
True,False,False,False,30,144,3920,8,11,4.499809670330265
False,True,True,False,2,309,1113,1,126,4.2626798770413155
False,False,False,True,1,0,70,1,8,4.2626798770413155
True,False,False,False,2,0,1564,1,2,5.198497031265826
True,True,False,False,2,13,1113,1,5,6.054439346269371
False,True,False,False,30,175,2658,6,7,3.828641396489095
False,False,True,True,1,71,39,1,0,3.6109179126442243
True,True,False,False,2,0,52,1,4,5.303304908059076
False,True,False,False,1,0,1117,1,1,4.2626798770413155
False,True,False,False,5,79,1113,1,0,5.017279836814924
True,True,False,False,4,78,470,1,0,5.3981627015177525
False,False,False,False,1,65,357,1,73,3.713572066704308
True,True,False,False,5,135,1798,1,3,5.991464547107982
True,True,False,False,30,0,1545,1,0,5.5254529391317835
False,False,False,False,21,1,175,2,1,3.4339872044851463
True,False,False,False,1,0,144,1,2,4.836281906951478
False,True,False,False,1,308,253,2,16,4.663439094112067
True,True,False,False,5,0,2658,1,3,5.69035945432406
False,False,False,False,3,180,135,3,2,4.836281906951478
True,False,False,False,21,138,363,1,102,4.564348191467836
True,False,False,False,2,0,3920,1,1,5.075173815233827
True,True,False,False,1,365,1853,1,1,6.2166061010848646
True,False,False,False,2,0,154,1,12,5.030437921392435
True,True,False,False,30,190,1853,1,4,4.948759890378168
False,True,False,False,3,226,288,5,141,4.836281906951478
True,True,False,False,5,0,1113,1,0,5.278114659230517
True,False,False,False,2,0,2465,3,17,5.017279836814924
False,True,False,False,3,0,911,1,1,4.394449154672439
False,False,False,False,2,331,237,1,8,4.0943445622221
True,True,False,False,30,331,52,1,0,5.153291594497779
False,False,False,False,1,0,99,1,25,4.418840607796598
True,False,False,False,5,7,2465,1,3,4.948759890378168
False,False,False,False,5,261,2465,2,165,4.110873864173311
True,True,False,False,30,111,485,31,4,4.836281906951478
False,False,False,False,3,67,1564,1,29,4.330733340286331
True,True,False,False,6,0,1958,1,11,4.605170185988092
False,False,False,True,1,265,50,1,7,3.9318256327243257
False,False,False,False,14,90,3920,1,5,4.02535169073515
True,True,False,False,1,0,252,1,1,4.795790545596741
True,False,False,False,1,0,900,1,0,4.330733340286331
True,True,False,False,30,0,1798,1,0,4.875197323201151
False,True,False,False,2,0,1113,1,37,5.017279836814924
True,True,False,False,10,137,253,1,9,5.438079308923196
True,False,False,False,7,0,357,1,1,4.836281906951478
True,False,False,False,2,288,500,2,44,4.709530201312334
True,False,False,False,3,139,1564,1,24,6.398594934535208
True,False,False,False,2,0,1115,1,0,4.836281906951478
True,True,False,False,3,88,1853,1,11,5.860786223465865
True,False,False,False,2,231,3714,1,124,4.941642422609304
True,False,False,False,2,20,3920,2,68,5.298317366548036
True,False,False,False,2,313,426,3,204,4.663439094112067
True,True,False,False,2,97,911,1,1,6.373319789577012
True,True,False,False,3,49,1798,1,11,5.017279836814924
True,True,False,False,1,0,1117,1,0,5.5254529391317835
False,False,False,False,1,227,3714,4,17,4.330733340286331
False,True,False,False,1,0,1971,1,1,5.111987788356544
True,False,False,False,3,0,1564,1,4,4.836281906951478
True,False,False,False,25,364,3714,1,3,5.049856007249537
True,True,False,False,1,0,1853,1,15,5.278114659230517
True,False,False,False,2,0,1115,1,3,4.948759890378168
False,True,False,False,1,165,346,1,131,4.499809670330265
True,True,False,False,30,316,288,232,0,5.605802066295998
False,False,False,False,7,0,3920,1,1,3.9318256327243257
False,False,False,False,1,0,136,8,26,3.713572066704308
True,True,False,False,2,272,744,327,9,5.5134287461649825
False,True,False,False,3,0,911,1,6,5.017279836814924
True,True,False,False,2,12,768,1,55,4.867534450455582
False,True,False,False,1,88,77,1,0,5.017279836814924
True,True,False,False,30,274,1545,232,0,5.5909869805108565
True,False,False,False,1,0,233,1,1,5.017279836814924
False,True,False,False,6,200,1853,1,10,4.61512051684126
True,True,False,False,3,0,768,1,0,5.25227342804663
True,True,False,False,1,0,2658,2,21,5.5254529391317835
False,False,False,False,2,177,237,2,25,4.2626798770413155
False,False,False,False,1,168,426,2,2,3.912023005428146
False,False,False,False,5,0,2465,1,12,3.9318256327243257
False,False,False,False,4,304,537,3,39,3.58351893845611
True,False,False,False,2,126,3920,1,27,5.1647859739235145
True,True,False,False,2,0,911,1,0,4.912654885736052
False,False,False,False,14,0,144,1,0,3.4339872044851463
False,True,False,False,2,180,252,1,2,3.828641396489095
False,True,False,False,1,20,346,4,46,4.454347296253507
True,True,False,False,15,1,899,1,1,4.219507705176107
False,False,False,False,3,77,423,2,0,4.174387269895637
True,False,False,False,2,0,900,1,13,4.948759890378168
False,True,False,False,30,0,358,1,19,4.61512051684126
False,True,False,False,1,0,368,5,5,4.51085950651685
False,True,False,False,1,359,1113,20,0,4.867534450455582
False,False,False,True,3,80,21,4,55,3.9889840465642745
True,True,False,False,30,356,1958,7,3,4.394449154672439
True,True,False,False,29,337,288,327,1,5.384495062789089
True,False,False,False,3,0,572,1,3,4.499809670330265
False,False,False,False,1,54,39,1,62,4.0943445622221
False,False,False,False,3,0,1115,1,1,4.2626798770413155
True,True,False,False,3,0,1971,1,0,5.0106352940962555
False,True,False,False,1,0,1545,1,0,4.454347296253507
False,False,False,False,3,0,572,1,0,4.605170185988092
False,False,False,False,4,157,621,1,2,3.58351893845611
False,False,False,False,10,0,3920,1,5,4.394449154672439
False,True,False,False,1,2,1971,1,93,4.736198448394496
True,True,False,False,2,0,768,1,1,5.017279836814924
False,True,False,False,3,5,392,2,2,4.574710978503383
True,True,False,False,5,3,2658,1,23,5.8888779583328805
False,False,False,False,2,346,1564,1,136,4.110873864173311
False,True,True,False,1,23,1958,5,8,4.564348191467836
False,False,False,False,1,85,3920,1,16,4.795790545596741
False,False,False,False,14,0,3714,1,0,3.713572066704308
True,True,False,False,2,0,1798,1,8,5.62040086571715
True,True,False,False,2,0,744,1,2,5.170483995038151
True,True,False,False,3,301,1545,1,16,5.209486152841421
False,True,False,False,2,148,1545,1,60,5.860786223465865
False,False,False,False,2,0,357,1,3,4.605170185988092
True,False,False,False,2,0,363,2,0,4.77912349311153
True,False,False,False,2,354,3714,3,40,4.836281906951478
False,False,False,False,1,0,3714,1,1,3.7376696182833684
True,False,False,False,1,365,1115,1,2,5.198497031265826
False,False,False,False,3,179,3920,2,2,4.605170185988092
False,False,False,True,1,148,50,4,130,3.9318256327243257
False,True,True,False,2,0,1971,1,0,4.02535169073515
False,True,False,False,1,327,1798,1,10,4.59511985013459
False,True,False,False,1,25,2658,1,105,3.9318256327243257
False,False,False,False,1,336,3714,1,123,4.0943445622221
True,True,False,False,30,283,1545,2,0,5.860786223465865
True,True,False,False,2,35,1971,1,29,5.420534999272286
False,False,False,False,14,0,2465,1,1,3.9318256327243257
True,True,False,False,2,0,1853,1,0,5.017279836814924
True,True,False,False,5,339,1545,1,58,6.0473721790462776
False,False,False,False,3,60,3714,1,6,4.1588830833596715
False,False,False,False,1,0,3920,1,1,3.828641396489095
False,True,False,False,15,185,911,4,0,4.276666119016055
True,True,False,False,2,336,1958,2,4,5.521460917862246
False,False,False,False,1,36,231,2,1,3.9318256327243257
False,True,False,False,3,145,2658,4,30,4.454347296253507
False,False,False,False,2,0,3714,1,34,4.110873864173311
False,False,False,False,1,0,1564,1,5,3.9318256327243257
True,False,False,False,3,0,363,1,0,4.605170185988092
False,True,False,False,1,68,2658,1,28,5.017279836814924
True,True,False,False,3,0,392,1,0,5.420534999272286
True,True,False,False,2,318,744,327,8,5.272999558563747
True,True,False,False,2,12,1798,1,4,4.718498871295094
True,False,False,False,3,2,99,1,23,4.997212273764115
True,True,False,False,5,0,1798,1,1,4.795790545596741
True,True,False,False,2,3,253,1,22,5.303304908059076
False,False,False,False,1,75,218,1,1,4.2626798770413155
True,True,False,False,3,0,899,1,2,4.61512051684126
True,True,False,False,3,0,1971,1,24,5.298317366548036
False,False,False,False,3,0,2465,1,3,3.6375861597263857
False,True,True,False,2,5,1958,2,13,4.189654742026425
False,True,False,False,1,0,1113,1,0,4.2626798770413155
False,False,False,False,2,0,900,1,0,4.110873864173311
False,False,False,False,1,308,186,2,4,4.02535169073515
True,True,False,False,30,200,1971,1,2,4.795790545596741
True,True,False,False,1,306,1853,1,105,5.25227342804663
True,False,False,False,5,0,3714,1,4,4.61512051684126
False,False,False,False,3,12,1115,1,8,4.663439094112067
False,True,False,False,1,0,338,1,0,5.303304908059076
False,True,False,False,2,124,2658,1,0,3.58351893845611
False,False,False,False,2,0,390,2,8,3.9318256327243257
False,True,False,False,4,0,485,2,3,3.713572066704308
False,False,False,True,1,364,70,4,2,4.189654742026425
False,False,False,False,2,359,3920,2,33,4.219507705176107
False,False,False,False,2,0,900,1,1,3.8918202981106265
True,False,False,False,3,167,3920,1,14,6.398594934535208
True,True,False,False,14,0,470,1,1,5.017279836814924
True,False,False,False,3,0,900,1,1,4.330733340286331
False,True,False,False,6,0,2658,1,4,3.9318256327243257
True,True,False,False,30,215,1971,1,2,5.170483995038151
True,True,False,False,29,331,288,327,0,5.337538079701318
True,True,False,False,30,357,1958,87,1,5.375278407684165
True,True,False,False,3,0,1958,1,1,5.198497031265826
False,False,False,False,1,333,231,2,629,3.871201010907891
False,False,False,False,30,323,2465,17,0,3.871201010907891
False,True,False,False,2,191,911,2,33,4.836281906951478
False,False,False,False,1,20,3920,2,28,4.61512051684126
True,False,False,False,15,5,157,1,53,4.836281906951478
True,False,False,False,1,0,500,1,14,4.394449154672439
True,False,False,False,1,0,141,1,0,4.912654885736052
True,False,False,False,20,211,621,1,11,4.2626798770413155
True,False,False,False,3,44,3714,1,22,4.7535901911063645
False,False,False,False,28,310,110,2,14,4.04305126783455
False,False,False,False,1,269,3920,2,3,4.795790545596741
True,True,False,False,3,0,2658,1,13,4.3694478524670215
False,True,False,False,1,0,1113,1,0,5.170483995038151
True,True,False,False,7,0,1853,1,0,5.968707559985366
True,True,False,False,1,11,1853,1,17,5.225746673713202
True,False,False,False,3,117,506,1,1,5.225746673713202
False,False,False,False,20,182,537,1,52,4.61512051684126
True,True,False,False,2,0,78,2,0,5.860786223465865
True,True,False,False,3,0,470,3,1,4.795790545596741
True,True,False,False,30,181,1971,25,5,5.25227342804663
True,False,False,False,30,336,1115,52,3,4.867534450455582
True,False,False,False,3,0,3714,1,1,4.61512051684126
False,False,False,False,1,341,185,4,356,4.189654742026425
True,True,False,False,3,0,1117,1,1,4.6913478822291435
False,False,False,False,1,155,64,3,63,4.110873864173311
False,True,False,False,2,130,1958,5,17,5.5254529391317835
True,True,False,False,4,0,1971,1,2,4.61512051684126
True,True,False,False,30,108,1545,5,3,5.247024072160486
True,True,False,False,6,105,177,1,40,5.993961427306569
False,True,False,False,30,364,2658,6,1,4.1588830833596715
False,True,False,False,4,43,1853,2,49,4.61512051684126
False,True,False,False,3,0,1117,1,1,3.9318256327243257
True,False,False,False,3,0,2465,1,2,4.795790545596741
False,False,False,False,14,0,2465,1,0,3.295836866004329
False,True,False,False,1,345,1958,10,1,5.117993812416755
False,False,False,False,3,0,3920,1,0,4.110873864173311
True,True,False,False,2,83,1798,1,1,5.170483995038151
False,False,False,False,1,0,426,2,0,4.2626798770413155
True,True,False,False,30,365,1958,7,32,4.394449154672439
False,False,False,False,1,0,235,1,0,4.0943445622221
True,True,False,False,1,253,744,6,127,6.054439346269371
False,False,False,False,4,39,537,1,1,5.170483995038151
True,False,False,False,4,9,1115,1,17,4.859812404361672
False,True,False,False,1,363,1853,1,21,4.836281906951478
True,False,False,False,2,285,1564,1,43,5.017279836814924
False,True,False,False,1,0,2658,2,139,4.394449154672439
True,True,False,False,7,0,1117,2,7,3.9889840465642745
True,False,False,False,4,142,423,2,0,5.442417710521793
False,False,False,False,2,339,3920,1,0,4.110873864173311
False,True,False,False,1,0,1545,2,25,4.983606621708336
True,True,False,False,30,89,2658,1,0,4.859812404361672
True,True,False,False,30,365,1971,52,5,4.477336814478207
True,False,False,False,4,0,3920,1,7,5.278114659230517
False,False,False,False,1,30,284,1,80,4.3694478524670215
True,True,False,False,5,80,1958,1,42,6.26530121273771
True,True,False,False,30,311,1545,96,0,5.5254529391317835
False,True,False,False,7,204,1798,1,9,4.948759890378168
False,False,False,False,30,345,3714,27,2,3.7612001156935624
True,True,False,False,30,352,768,96,0,6.311734809152915
False,False,False,False,1,0,426,2,3,4.110873864173311
True,True,False,False,30,346,52,1,0,5.170483995038151
True,True,False,False,2,0,392,1,5,5.170483995038151
False,True,False,False,7,0,77,1,3,3.9318256327243257
False,False,False,False,2,2,3920,1,5,4.2626798770413155
False,False,False,False,1,180,3920,1,12,5.017279836814924
False,False,False,False,30,365,3714,3,21,4.189654742026425
True,False,False,False,7,261,309,8,105,4.68213122712422
True,True,False,False,2,35,2658,1,90,5.111987788356544
True,False,False,False,7,82,535,2,9,5.25227342804663
False,False,False,False,1,365,426,1,1,3.8501476017100584
False,False,True,False,1,361,56,9,10,3.4339872044851463
